#{"t_start": 1775121136.9829605, "env_id": "None"}
r,l,t
-2.0,10,0.008618
325.0,200,0.145331
6.0,26,0.178096
75.0,24,0.215764
149.0,46,0.281044
-5.0,8,0.292106
-18.0,6,0.29963
18.0,25,0.348138
38.0,40,0.419427
33.0,15,0.439485
111.0,26,0.491649
41.0,18,0.522218
-9.0,1,0.527749
-9.0,1,0.528744
-9.0,1,0.528744
274.0,200,0.805506
312.0,200,1.087835
9.0,5,1.092835
87.0,33,1.137475
-9.0,6,1.143487
43.0,24,1.177587
8.0,8,1.187632
251.0,102,1.320991
9.0,20,1.350588
79.0,23,1.376162
35.0,11,1.392226
14.0,18,1.41679
73.0,37,1.469435
-8.0,3,1.475954
-9.0,10,1.485487
-5.0,3,1.491517
217.0,92,1.631099
-12.0,3,1.637619
58.0,16,1.666157
-10.0,5,1.670161
-17.0,19,1.699376
-10.0,1,1.700377
-3.0,8,1.708969
-17.0,8,1.719568
-19.0,3,1.723567
134.0,48,1.798425
-8.0,8,1.808941
12.0,30,1.85777
178.0,63,1.942727
390.0,200,2.224241
12.0,12,2.238301
241.0,135,2.438542
68.0,29,2.474174
-9.0,1,2.474174
-9.0,1,2.475719
425.0,200,2.741349
23.0,14,2.759176
19.0,9,2.769768
1.0,4,2.77377
209.0,67,2.864405
1.0,3,2.86996
-9.0,3,2.870957
455.0,200,3.17641
-17.0,7,3.190635
8.0,2,3.197224
-13.0,7,3.20419
478.0,200,3.494649
161.0,40,3.546034
198.0,55,3.636599
7.0,5,3.644598
1.0,2,3.649113
-11.0,3,3.654118
7.0,13,3.668154
203.0,77,3.760528
29.0,10,3.774152
170.0,46,3.850716
-6.0,14,3.871779
-15.0,1,3.871779
26.0,25,3.901478
-2.0,1,3.901478
245.0,75,4.00104
16.0,9,4.011573
-9.0,1,4.015601
-9.0,3,4.017187
28.0,6,4.026718
213.0,69,4.117615
-10.0,1,4.117615
-13.0,3,4.123625
22.0,16,4.149269
547.0,200,4.46304
373.0,116,4.640035
376.0,147,4.851956
394.0,149,5.068075
-9.0,3,5.072075
403.0,143,5.291358
-8.0,2,5.29236
244.0,74,5.412275
161.0,40,5.466582
-10.0,6,5.472583
50.0,30,5.514326
36.0,17,5.537941
10.0,6,5.547473
-5.0,2,5.554492
28.0,7,5.568554
-22.0,16,5.60368
