#{"t_start": 1775123909.9968598, "env_id": "None"}
r,l,t
-6.0,22,0.050671
110.0,28,0.099009
56.0,27,0.138098
-1.0,8,0.146624
3.0,9,0.160147
-15.0,1,0.162148
-1.0,8,0.173674
18.0,20,0.198775
-8.0,3,0.20328
83.0,29,0.237873
112.0,57,0.301571
99.0,60,0.372257
-9.0,9,0.38331
-15.0,1,0.384329
9.0,7,0.391861
-15.0,1,0.393377
-6.0,6,0.400394
-8.0,5,0.407008
11.0,7,0.414597
9.0,20,0.43673
1.0,17,0.454839
33.0,23,0.479948
-9.0,1,0.48194
320.0,200,0.685808
95.0,25,0.711541
6.0,26,0.738803
58.0,70,0.80793
-5.0,7,0.814541
344.0,200,1.018591
14.0,26,1.044154
10.0,13,1.056729
4.0,4,1.061729
125.0,64,1.123722
1.0,2,1.125305
230.0,200,1.320076
-15.0,1,1.321077
86.0,30,1.350704
-22.0,4,1.354249
-3.0,4,1.358286
-1.0,6,1.365396
-12.0,3,1.368404
21.0,20,1.387461
-11.0,11,1.397496
-12.0,9,1.406024
-9.0,1,1.407023
-15.0,1,1.408023
-9.0,17,1.42416
-15.0,3,1.427197
2.0,3,1.430195
-8.0,14,1.443338
15.0,7,1.449382
-20.0,12,1.460912
67.0,24,1.485507
146.0,26,1.509075
6.0,10,1.518605
41.0,22,1.539695
-2.0,20,1.55884
38.0,42,1.598003
-15.0,1,1.599
10.0,28,1.624707
-6.0,2,1.626751
-19.0,24,1.647944
284.0,200,1.834291
65.0,69,1.897273
1.0,23,1.918441
261.0,200,2.104144
49.0,27,4.903655
-13.0,4,4.911193
-14.0,7,4.924237
-12.0,2,4.928263
0.0,3,4.931263
145.0,43,4.998543
9.0,5,5.008087
14.0,22,5.044227
26.0,10,5.062758
-15.0,5,5.069292
20.0,11,5.081813
121.0,53,5.145124
4.0,21,5.172171
-3.0,6,5.183707
149.0,87,5.320729
-2.0,10,5.333774
-14.0,4,5.339792
-16.0,2,5.343301
-9.0,1,5.346324
-6.0,4,5.35131
12.0,10,5.363333
8.0,2,5.365346
-13.0,1,5.36634
-2.0,7,5.373847
81.0,33,5.414556
154.0,63,5.489285
143.0,49,5.543921
151.0,41,5.589077
49.0,9,5.599621
-8.0,7,5.607147
-7.0,1,5.608147
9.0,5,5.613657
-19.0,3,5.617679
83.0,45,5.666353
52.0,59,5.733631
25.0,39,5.776778
6.0,9,5.786309
-8.0,3,5.78931
-6.0,21,5.811934
-9.0,1,5.813481
357.0,165,5.980332
26.0,6,5.986857
29.0,17,6.004438
-9.0,1,6.005437
10.0,17,6.023563
-23.0,3,6.026582
47.0,18,6.044308
0.0,1,6.046317
28.0,15,6.060724
-11.0,3,6.06372
16.0,9,6.072271
30.0,22,6.093845
-5.0,9,6.103376
145.0,96,6.199568
51.0,13,6.213606
344.0,200,6.407093
12.0,13,6.420653
-5.0,3,6.423651
43.0,57,6.478911
22.0,7,6.485429
369.0,200,6.67562
252.0,84,6.753675
11.0,17,6.770216
45.0,33,6.800439
15.0,15,6.814567
-8.0,3,6.816605
-13.0,6,6.8226
-9.0,1,6.823576
0.0,7,6.830162
15.0,8,6.836765
43.0,22,6.857849
-9.0,1,6.859851
-13.0,7,6.865368
120.0,63,6.924251
17.0,10,6.933841
-11.0,9,6.941881
13.0,6,6.947478
82.0,29,6.974853
140.0,56,7.028197
-13.0,6,7.033704
128.0,43,7.075044
-3.0,12,7.08568
103.0,47,9.631114
-10.0,4,9.640665
508.0,200,9.934862
10.0,10,9.951407
94.0,49,10.00946
303.0,121,10.14533
-2.0,6,10.152334
46.0,17,10.17151
224.0,70,10.249424
69.0,28,10.279152
-8.0,18,10.298348
49.0,17,10.315526
13.0,46,10.362615
-8.0,11,10.373658
130.0,52,10.425535
-6.0,2,10.427533
108.0,40,10.467869
247.0,72,10.537435
131.0,46,10.58365
448.0,200,10.778786
41.0,27,10.80551
-14.0,8,10.813539
-15.0,1,10.81409
