Run,Learning Rate,Gamma,N Steps,Ent Coef,Clip Range,Mean Reward,Std Reward
run_01,0.0003,0.99,2048,0.0,0.2,628.95,540.882
run_02,0.0001,0.99,2048,0.0,0.2,859.1,505.509
run_03,0.001,0.99,2048,0.01,0.2,834.2,477.97
run_04,0.0003,0.95,1024,0.0,0.2,610.0,525.914
run_05,0.0003,0.99,512,0.0,0.1,598.65,527.311
run_06,0.0003,0.99,2048,0.0,0.3,877.75,472.979
run_07,0.0005,0.98,2048,0.01,0.2,485.45,544.054
run_08,0.0003,0.99,4096,0.0,0.2,780.2,527.679
run_09,0.0001,0.99,2048,0.05,0.2,448.6,537.388
run_10,0.0003,0.9,2048,0.0,0.2,591.55,591.107
